VMID,VMNAME,OS_VARIANT,PROXMOX_NODE
450,netgate-installer-450,netgate-installer,remonster-5
451,netgate-installer-451,netgate-installer,remonster-5
452,netgate-installer-452,netgate-installer,remonster-5
453,netgate-installer-453,netgate-installer,remonster-5
454,netgate-installer-454,netgate-installer,remonster-5
450,netgate-installer-450,netgate-installer,remonster-5
451,netgate-installer-451,netgate-installer,remonster-5
452,netgate-installer-452,netgate-installer,remonster-5
453,netgate-installer-453,netgate-installer,remonster-5
454,netgate-installer-454,netgate-installer,remonster-5
450,netgate-installer-450,netgate-installer,remonster-5
451,netgate-installer-451,netgate-installer,remonster-5
452,netgate-installer-452,netgate-installer,remonster-5
453,netgate-installer-453,netgate-installer,remonster-5
454,netgate-installer-454,netgate-installer,remonster-5
